id,name,current_category,new_category
2622,"Hardcut Concrete Sawing Drilling","Selective Demolition Contractors","Concrete Saw Cutting"
2624,"Adcon Concrete Cutting Services","Selective Demolition Contractors","Concrete Saw Cutting"
2632,"DC Concrete Cutting Pty Ltd","Selective Demolition Contractors","Concrete Saw Cutting"
2634,"Focus Concrete Cutting","Selective Demolition Contractors","Concrete Saw Cutting"
2636,"TGB & Son Saw Cutting and Core Drilling","Selective Demolition Contractors","Core Drilling"
2637,"Budget Cutting & Core Drilling Services","Selective Demolition Contractors","Core Drilling"
2638,"ABSOLUTE CONCRETE CUTTING AND CORE DRILLING SERVICES","Selective Demolition Contractors","Concrete Saw Cutting"
2640,"Terry's Concrete Cutting","Selective Demolition Contractors","Concrete Saw Cutting"
2642,"Optimal Cut & Core Concrete Cutting Pty Ltd","Core Drilling","Concrete Saw Cutting"
2647,"A1 Competitive Plumbing Services","Drainage Contractors","Commercial Plumbers"
2649,"Steen Paul Plumbing","Drainage Contractors","Commercial Plumbers"
2650,"Straco Plumbing Solutions","Drainage Contractors","Commercial Plumbers"
2651,"Skilled Plumbing","Drainage Contractors","Commercial Plumbers"
2652,"G. F. James Plumbing Services","Drainage Contractors","Commercial Plumbers"
2653,"A Grade Plumbing","Drainage Contractors","Commercial Plumbers"
2655,"Peck T E Excavations Pty Ltd","Drainage Contractors","Earthmoving Contractors"
2656,"Wakelin Plumbing Pty Ltd","Drainage Contractors","Commercial Plumbers"
2659,"Keith McDonald Plumbing","Drainage Contractors","Commercial Plumbers"
2661,"Ty's Plumbing Services Pty Ltd","Drainage Contractors","Commercial Plumbers"
2662,"R.V.E. Plumbing Service","Drainage Contractors","Commercial Plumbers"
2663,"Greg Oates Plumbing Services","Drainage Contractors","Commercial Plumbers"
2664,"BG Plumbing Pty Ltd","Drainage Contractors","Commercial Plumbers"
2705,"Central Coast Solar Installations","Solar Panel Installers","Solar & Renewables"
2744,"Potts Point Air Conditioning & Refrigeration","Air Conditioning Contractors","Refrigeration Contractors"
2755,"Ice Cube Refrigeration & Air Conditioning","Air Conditioning Contractors","Refrigeration Contractors"
2777,"Barrier Damp Proofing Pty Ltd","Remedial Contractors","Roofing Contractors"
2787,"MLC Pest Control","Remedial Contractors","Pest Control Contractors"
2831,"Potts Point Paving","Locksmiths","Paving Contractors"
2838,"Hildebrandt Locksmiths Pty Ltd","Locksmiths","NDT Testing"
2853,"Automatic Sliding Door Service","Garage Door Installers","Door Installers"
2934,"QLH Tiling And Waterproofing","Tilers","Licensed Waterproofers"
2979,"Epoxy Vinyl Flooring Services","Epoxy Flooring Contractors","Vinyl Floor Layers"
2987,"Exclusive Floor Sanding","Epoxy Flooring Contractors","Floor Grinding Contractors"
2989,"Wall And Floor Tiling Sydney","Epoxy Flooring Contractors","Tilers"
3024,"Sydney Excavations","Landscape Contractors","Earthmoving Contractors"
3072,"B M Landscapes & Irrigation","Irrigation Contractors","Landscape Contractors"
3079,"Ben Copeland Landscapes & Irrigation","Irrigation Contractors","Landscape Contractors"
3087,"Pest Control Services NSW","Commercial Cleaners","Pest Control Contractors"
3108,"24x7 Cleaning & Carpet Cleaning Pty Ltd","Commercial Cleaners","Carpet Cleaners"
3111,"Zaka Caulking & Cleaning","High-Rise Window Cleaning (Rope Access)","Sealant Contractors"
3112,"Spic & Span Window Cleaning Pty Ltd","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
3113,"Avoclean Window Cleaning Services","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
3114,"METRO Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
3115,"Cooper Coliver Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
3120,"Coastal Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
3122,"Aurora Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
3125,"Viking Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
3127,"New View Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
3128,"Eastern Suburbs Window Cleaner","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
3129,"Window Cleaning Professionals","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
3130,"New-Era Window Cleaning","High-Rise Window Cleaning (Rope Access)","Window Cleaners"
